feature_name,importance
after_query_1_rate,145
item_cvr_shop_7days_rank,145
item_city_id_5_d_4_cnt,145
item_id_item_category_list_cross_y,145
item_id_context_page_id_cross_y,145
diff_item_collected_level_today_d_7days,145
shop_score_service,144
item_city_id_6_d_5_buy,144
item_city_id_context_page_id_6day_cvr,143
after_cate_query_all_cnt,142
days7_user_id_cnt,142
days7_shop_id_query1_cnt,142
item_city_id_query1_6day_cvr,141
shop_idcnt0,141
full_user_id_context_page_id_cnt,141
item_cvr_query_7days_rank,140
predict_category_property_6_d_5_buy,140
item_id_item_pv_level_var,140
query_6day_cvr,139
predict_category_property_6day_cvr,138
days7_predict_category_property_cnt,138
days7_item_id_context_page_id_cnt,138
item_id_item_category_list_7days_cvr,137
shop_idbuy0,137
day6_top10_query_cnt,137
item_id_top10_cross_y,137
item_idcnt1,136
query1_1_d_0_cnt,136
day6_item_id_predict_category_property_cnt,135
user_id_shop_id_cross_x,134
shop_id_item_city_id_cross_y,134
item_city_id_3_d_2_buy,133
query1_2_d_1_buy,133
query1_context_page_id_6day_cvr,132
user_7days_cvr,132
item_id_3_d_2_buy,132
item_city_id_5_d_4_buy,132
days7_cate_predict_category_property_cnt,132
item_id_query_7days_cvr,131
brand_cvr_query1_7days_rank,131
day6_item_category_list_predict_category_property_cnt,131
item_id_item_brand_id_cross_y,131
item_category_list_query1_6day_cvr,130
item_idcnt4,130
shop_idcnt4,130
predict_category_property_1_d_0_cnt,130
day6_item_id_query1_cnt,130
day6_item_brand_id_query1_cnt,130
user_id_item_id_cross_x,130
query1_4_d_3_buy,129
item_id_item_brand_id_7days_cvr,128
predict_category_propertycnt1,128
day6_item_brand_id_context_page_id_cnt,127
days7_top10_predict_category_property_cnt,127
query1_6_d_5_buy,126
day6_item_id_query_cnt,126
days7_context_page_id_query_cnt,126
user_occupation_id,125
query1_5_d_4_buy,125
query1_5_d_4_cnt,123
item_id_context_page_id_cross_x,123
item_idcnt2,122
days7_item_category_list_predict_category_property_cnt,122
user_id_shop_id_cross_x,122
item_id_shop_id_cross_x,122
item_city_id_2_d_1_buy,121
shop_cvr_city_6day_rank,120
shop_idcnt5,120
query1_1_d_0_buy,120
item_id_cate_cross_x,120
shop_id_context_page_id_cross_x,120
user_id_item_id_cross_y,120
shop_cvr_query1_6day_rank,119
query1_3_d_2_buy,119
full_user_id_item_brand_id_cnt,119
days7_item_id_query1_cnt,119
item_id_top10_cross_x,119
item_id_item_city_id_cross_y,119
shop_cvr_cate_6day_rank,118
item_category_list_4_d_3_buy,118
item_id_cate_cross_y,118
item_id_item_pv_level_avg,118
item_category_list_item_city_id_6day_cvr,117
day6_cate_predict_category_property_cnt,117
brand_cvr_query_6day_rank,116
item_category_list_3_d_2_buy,116
item_id_shop_id_cross_y,116
item_cvr_query_6day_rank,115
shop_cvr_city_7days_rank,115
cate_cvr_city_7days_rank,115
shop_cvr_query1_7days_rank,115
query1_2_d_1_cnt,115
day6_item_category_list_top10_cnt,115
item_id_item_city_id_cross_x,115
shop_cvr_query_6day_rank,114
full_user_id_top10_cnt,114
shop_id_shop_star_level_avg,114
item_category_list_predict_category_property_6day_cvr,113
item_id_2_d_1_buy,113
item_city_id_6_d_5_cnt,113
item_id_query_cross_x,113
day6_top10_predict_category_property_cnt,113
item_id_item_category_list_cross_x,113
diff_item_sales_level_today_d_6day,113
brand_cvr_city_6day_rank,112
querycnt0,112
context_page_id_4_d_3_cnt,112
item_cvr_cate_6day_rank,111
item_id_4_d_3_buy,111
days7_item_brand_id_context_page_id_cnt,111
shop_id_query_7days_cvr,110
item_category_list_6_d_5_buy,110
item_city_id_1_d_0_buy,110
days7_item_id_predict_category_property_cnt,109
after_query_1_page_cnt,108
item_cvr_query1_6day_rank,108
item_id_5_d_4_buy,108
item_id_item_sales_level_var,108
query1_4_d_3_cnt,107
days7_item_brand_id_query1_cnt,107
days7_item_city_id_top10_cnt,107
brand_cvr_city_7days_rank,106
item_idcnt3,106
brand_cvr_query1_6day_rank,105
brand_cvr_query_7days_rank,105
full_user_id_query_cnt,105
full_top10_query1_cnt,105
shop_id_shop_review_num_level_avg,105
shop_idcnt1,104
item_category_list_6_d_5_cnt,104
shop_id_item_city_id_cross_y,104
item_category_list_context_page_id_6day_cvr,103
day6_cate_query_cnt,103
user_id_query1_cross_x,103
predict_category_propertycnt3,102
shop_id_item_city_id_7days_cvr,101
full_shop_id_context_page_id_cnt,101
full_top10_predict_category_property_cnt,101
days7_shop_id_predict_category_property_cnt,101
shop_id_item_city_id_cross_x,101
item_brand_id_context_page_id_6day_cvr,100
item_city_id_4_d_3_cnt,100
full_user_id_item_category_list_cnt,100
item_city_id,99
shop_cvr_brand_7days_rank,99
item_id_item_brand_id_cross_x,99
item_city_id_predict_category_property_6day_cvr,98
shop_cvr_query_7days_rank,98
days7_top10_cnt,98
user_id_shop_id_cross_y,98
item_category_list_4_d_3_cnt,97
day6_item_brand_id_item_city_id_cnt,97
item_city_id_4_d_3_buy,96
item_id_shop_id_cross_x,96
day6_item_brand_id_top10_cnt,96
item_cvr_city_6day_rank,95
cate_cvr_city_6day_rank,95
predict_category_property_3_d_2_buy,95
query1_3_d_2_cnt,95
item_category_list,94
shop_id_context_page_id_6day_cvr,94
item_id_6_d_5_buy,94
item_city_id_3_d_2_cnt,94
full_cate_context_page_id_cnt,94
day6_top10_cnt,94
days7_shop_id_item_category_list_cnt,94
full_user_id_predict_category_property_cnt,93
days7_item_id_top10_cnt,93
day6_context_page_id_query1_cnt,92
days7_shop_id_cate_cnt,92
shop_id_context_page_id_cross_y,92
context_page_id_predict_category_property_6day_cvr,91
shop_idcnt3,91
full_item_id_context_page_id_cnt,91
full_top10_context_page_id_cnt,91
full_user_id_item_city_id_cnt,90
days7_user_id_item_category_list_cnt,90
after_brand_rate,89
shop_idcnt2,89
day6_item_category_list_query_cnt,89
item_id_item_brand_id_cross_y,89
item_category_list_3_d_2_cnt,88
item_id_item_city_id_cross_x,88
item_brand_id_item_city_id_6day_cvr,87
item_category_list_5_d_4_buy,87
full_item_category_list_context_page_id_cnt,87
full_predict_category_property_context_page_id_cnt,87
day6_item_brand_id_item_category_list_cnt,87
day6_shop_id_item_category_list_cnt,87
days7_item_category_list_top10_cnt,87
item_category_list_2_d_1_cnt,86
day6_item_city_id_cate_cnt,86
day6_item_city_id_context_page_id_cnt,86
day6_cate_query1_cnt,86
shop_idbuy3,85
item_id_context_page_id_cross_x,85
shop_id_item_city_id_cross_x,85
day6_item_category_list_item_city_id_cnt,85
day6_cate_top10_cnt,85
item_id_query1_6day_cvr,84
predict_category_propertycnt2,84
item_category_list_2_d_1_buy,84
days7_item_brand_id_item_city_id_cnt,84
user_gender_id,83
after_query_items,83
item_brand_id_item_category_list_6day_cvr,83
querycnt1,83
after_city_rate,82
item_brand_id_query_6day_cvr,82
item_brand_idcnt0,82
day6_item_category_list_query1_cnt,82
item_id_top10_cross_y,82
shop_id_query1_6day_cvr,81
full_item_brand_id_context_page_id_cnt,81
full_shop_id_item_category_list_cnt,81
full_item_city_id_predict_category_property_cnt,81
item_price_level,80
item_collected_level,80
before_low_price_cnt,80
querycnt2,80
item_category_list_5_d_4_cnt,80
full_shop_id_predict_category_property_cnt,80
item_id_query1_cross_x,80
shop_id_context_page_id_cross_x,80
before_query_1_shop_cnt,79
item_cvr_brand_7days_rank,79
predict_category_property_5_d_4_buy,79
context_page_id_5_d_4_cnt,79
full_item_id_predict_category_property_cnt,79
day6_item_brand_id_cate_cnt,79
day6_item_category_list_context_page_id_cnt,79
user_id_shop_id_cross_y,79
predict_category_property_1_d_0_buy,78
full_top10_query_cnt,78
user_cvr_cate_6day_rank,77
predict_category_propertybuy5,77
full_shop_id_query1_cnt,77
item_brand_id_query1_6day_cvr,76
querycnt3,76
item_id_item_category_list_cross_x,76
day6_shop_id_cate_cnt,76
days7_cate_top10_cnt,76
item_city_id_7days_cvr,75
predict_category_property_4_d_3_buy,75
full_shop_id_query_cnt,74
after_query_1_items,73
full_item_category_list_item_city_id_cnt,73
shop_idbuy1,72
querycnt4,72
full_item_category_list_query1_cnt,72
full_context_page_id_query1_cnt,72
user_id_query_cross_x,72
days7_user_id_cate_cnt,72
item_id_item_price_level_avg,72
item_id_top10_cross_x,71
day6_shop_id_top10_cnt,71
user_id_query_cross_y,71
diff_shop_star_level_today_d_7days,71
after_item_query_cnt,70
query1_7days_cvr,70
full_item_id_query1_cnt,70
full_item_id_query_cnt,70
user_id_query_cross_x,70
item_brand_id_6day_cvr,69
item_idbuy1,69
days7_shop_id_top10_cnt,69
shop_review_num_level,68
before_query_1_cnt,68
item_id_context_page_id_6day_cvr,68
shop_id_item_category_list_6day_cvr,68
full_item_brand_id_query1_cnt,68
item_id_item_brand_id_cross_x,68
day6_query1_query_cnt,68
days7_item_city_id_query1_cnt,68
item_brand_idcnt1,67
querybuy1,67
full_item_city_id_context_page_id_cnt,67
user_id_item_id_cross_y,67
days7_item_brand_id_top10_cnt,67
days7_item_city_id_cate_cnt,67
full_item_brand_id_predict_category_property_cnt,66
full_item_brand_id_query_cnt,66
day6_item_brand_id_shop_id_cnt,66
item_city_id_6day_cvr,65
after_high_sale_cnt,65
full_item_brand_id_item_city_id_cnt,65
full_cate_query1_cnt,65
item_brand_id_shop_id_cross_x,65
item_idbuy0,63
item_category_list_1_d_0_buy,63
full_item_city_id_query_cnt,63
days7_item_brand_id_item_category_list_cnt,63
days7_item_category_list_query_cnt,63
days7_item_city_id_context_page_id_cnt,63
shop_idbuy4,62
full_top10_cnt,62
days7_item_brand_id_shop_id_cnt,62
days7_item_category_list_item_city_id_cnt,62
item_id_predict_category_property_7days_cvr,61
item_idbuy3,61
shop_idbuy2,61
day6_cate_context_page_id_cnt,61
days7_context_page_id_query1_cnt,61
before_query_1_items,60
after_item_rate,60
querycnt5,60
day6_shop_id_cnt,60
shop_id_query_6day_cvr,59
context_page_id_3_d_2_buy,59
full_item_city_id_top10_cnt,59
day6_query_cnt,59
shop_id_predict_category_property_7days_cvr,58
user_cvr_brand_6day_rank,58
full_item_city_id_query1_cnt,58
days7_query1_query_cnt,58
context_page_id,57
user_cvr_city_6day_rank,57
item_idbuy2,57
full_item_city_id_cate_cnt,57
full_cate_top10_cnt,57
after_query_1_cate_cnt,56
item_brand_idcnt2,56
querybuy4,56
context_page_id_3_d_2_cnt,56
full_item_category_list_top10_cnt,56
days7_cate_query1_cnt,56
item_brand_id_shop_id_6day_cvr,55
predict_category_propertybuy0,55
predict_category_property_2_d_1_buy,55
item_brand_idcnt4,54
day6_item_city_id_query1_cnt,54
days7_cate_context_page_id_cnt,54
item_brand_id_predict_category_property_6day_cvr,53
query1_predict_category_property_7days_cvr,53
item_brand_idbuy0,53
full_cate_cnt,53
full_item_category_list_predict_category_property_cnt,53
before_query_1_rate,51
querybuy3,51
full_context_page_id_query_cnt,51
querybuy0,50
full_cate_predict_category_property_cnt,50
day6_item_id_top10_cnt,50
day6_predict_category_property_query1_cnt,50
days7_cate_query_cnt,50
query1_6day_cvr,49
shop_idbuy5,49
context_page_id_4_d_3_buy,49
days7_item_category_list_context_page_id_cnt,49
after_shop_rate,48
item_brand_id_predict_category_property_7days_cvr,48
querybuy2,48
full_item_brand_id_cate_cnt,48
days7_item_id_item_city_id_cnt,48
item_id_shop_id_7days_cvr,47
item_brand_idbuy4,47
full_shop_id_cate_cnt,47
item_brand_id_shop_id_cross_x,47
before_query_shops,46
shop_id_6day_cvr,46
after_low_price_cnt,46
context_page_id_6_d_5_cnt,46
day6_user_id_item_city_id_cnt,46
day6_shop_id_item_city_id_cnt,46
after_query_shops,45
item_brand_idcnt3,45
predict_category_propertybuy1,45
context_page_id_1_d_0_buy,45
full_item_brand_id_top10_cnt,45
days7_predict_category_property_query1_cnt,45
after_query_all_page_cnt,43
item_id_query_6day_cvr,43
query1_predict_category_property_6day_cvr,43
item_brand_idcnt5,43
context_page_id_6_d_5_buy,43
day6_item_brand_id_cnt,43
user_id_query1_cross_y,43
item_brand_id_shop_id_cross_y,43
days7_shop_id_item_city_id_cnt,43
before_query_all_items,42
item_category_list_7days_cvr,42
day6_user_nobuy_items,42
days7_item_category_list_query1_cnt,42
diff_shop_review_num_level_today_d_7days,42
before_query_1_shops,41
shop_idbuy6,41
day6_user_id_cate_cnt,41
before_query_1_city_cnt,40
item_id_6day_cvr,40
item_id_item_brand_id_6day_cvr,40
item_cvr_shop_6day_rank,40
item_brand_idbuy2,40
query1buy0,40
context_page_id_5_d_4_buy,40
full_predict_category_property_cnt,40
full_item_brand_id_item_category_list_cnt,40
before_query_1_cate_cnt,39
before_query_cate_cnt,39
cate_cvr_shop_6day_rank,39
predict_category_propertybuy4,39
shop_star_level,38
before_query_1_brand_cnt,38
before_query_all_shops,38
after_query_rate,38
shop_id_item_city_id_6day_cvr,38
user_cvr_shop_6day_rank,38
after_high_score_delivery_cnt,38
item_category_listbuy0,38
day6_user_id_cnt,38
day6_user_id_context_page_id_cnt,37
days7_item_brand_id_cate_cnt,37
shop_id_shop_review_num_level_var,37
before_high_score_description_cnt,36
item_brand_idbuy1,36
full_item_category_list_query_cnt,36
days7_item_id_cnt,36
after_query_1_shops,35
before_query_items,35
item_cvr_brand_6day_rank,35
before_high_sale_cnt,35
item_brand_idbuy3,35
querybuy5,35
full_shop_id_top10_cnt,35
before_item_query_1_cnt,34
predict_category_propertybuy2,34
context_page_id_1_d_0_cnt,34
context_page_id_2_d_1_buy,34
full_item_brand_id_shop_id_cnt,34
day6_item_id_cnt,34
days7_user_id_query1_cnt,34
day6_user_id_item_category_list_cnt,33
before_query_shop_cnt,32
context_page_id_6day_cvr,32
day6_user_continue_nobuy_click_cnt,32
full_cate_query_cnt,32
day6_item_id_item_brand_id_cnt,32
days7_user_id_item_brand_id_cnt,32
item_category_listcnt0,31
predict_category_propertybuy3,31
days7_shop_id_cnt,31
after_query_brand_cnt,30
after_high_score_description_cnt,30
item_category_listbuy3,30
query1buy6,30
full_query1_query_cnt,30
days7_user_id_item_city_id_cnt,30
item_brand_id_shop_id_cross_y,30
after_query_1_item_cnt,29
after_query_all_rate,29
before_item_rate,29
shop_cvr_brand_6day_rank,29
item_category_listcnt5,29
querybuy6,29
item_idbuy5,28
item_category_listcnt4,28
full_item_id_top10_cnt,28
day6_user_id_item_brand_id_cnt,28
after_query_all_items,27
before_item_query_all_cnt,27
item_brand_idbuy5,27
predict_category_propertybuy6,27
full_shop_id_item_city_id_cnt,27
user_id_query_cross_y,27
days7_item_id_item_brand_id_cnt,27
item_category_list_6day_cvr,26
cate_cvr_shop_7days_rank,26
before_high_score_service_cnt,26
item_city_idbuy3,26
query1buy4,26
query1buy5,26
pred_cate_num,25
after_query_all_cate_cnt,25
shop_id_predict_category_property_6day_cvr,25
after_high_score_service_cnt,25
item_brand_idbuy6,25
item_pv_level,24
after_query_all_shops,24
before_query_1_page_cnt,24
before_query_all_cate_cnt,24
before_city_rate,24
before_query_rate,24
after_high_star_level_cnt,24
context_page_id_2_d_1_cnt,24
days7_user_id_shop_id_cnt,24
before_query_all_shop_cnt,23
context_page_id_7days_cvr,23
item_idbuy4,23
full_item_brand_id_cnt,23
before_query_page_cnt,22
after_high_review_num_cnt,22
before_high_star_level_cnt,22
query1buy1,22
day6_cate_cnt,22
before_brand_rate,21
before_city_query_all_cnt,21
query1buy3,21
query1cnt0,21
before_query_city_cnt,20
before_high_score_delivery_cnt,20
item_city_idbuy0,20
query1buy2,20
after_query_all_cnt,19
after_query_city_cnt,19
item_id_item_city_id_6day_cvr,19
query_predict_category_property_6day_cvr,19
before_high_review_positive_cnt,19
after_query_page_cnt,18
before_high_review_num_cnt,18
item_idbuy6,18
item_category_listcnt1,18
item_city_idbuy2,18
query1cnt5,18
days7_user_id_query_cnt,18
before_query_all_city_cnt,17
before_query_all_page_cnt,17
before_brand_query_cnt,17
item_category_listcnt2,17
query1cnt4,17
day6_query1_cnt,17
days7_item_brand_id_cnt,17
days7_user_id_item_id_cnt,17
after_shop_query_1_cnt,16
before_city_query_cnt,16
item_id_predict_category_property_6day_cvr,16
item_category_listbuy5,16
item_category_listbuy6,16
day6_item_city_id_cnt,16
after_city_query_1_cnt,15
item_category_listbuy2,15
item_city_idbuy1,15
full_item_id_cnt,15
day6_user_id_shop_id_cnt,15
before_query_cnt,14
before_cate_query_cnt,14
before_shop_rate,14
item_category_listcnt3,14
item_city_idbuy5,14
item_city_idcnt5,14
query1cnt3,14
full_shop_id_cnt,14
day6_item_category_list_cnt,14
days7_query_cnt,14
shop_id_shop_star_level_var,14
diff_item_pv_level_today_d_6day,14
after_query_shop_cnt,13
before_brand_query_all_cnt,13
query_predict_category_property_7days_cvr,13
after_high_review_positive_cnt,13
before_query_brand_cnt,12
brand_cvr_shop_6day_rank,12
day6_user_nobuy_shops,12
item_category_listbuy1,12
item_city_idcnt0,12
query1cnt1,12
full_query_cnt,12
days7_item_id_item_category_list_cnt,12
after_query_1_shop_cnt,11
before_item_query_cnt,11
item_city_idbuy4,11
full_item_id_item_brand_id_cnt,11
full_item_id_item_category_list_cnt,11
full_predict_category_property_query1_cnt,11
day6_item_id_item_city_id_cnt,11
day6_predict_category_property_query_cnt,11
days7_cate_cnt,11
days7_predict_category_property_query_cnt,11
before_query_all_cnt,10
before_city_query_1_cnt,10
item_category_listbuy4,10
item_city_idbuy6,10
query1cnt2,10
day6_user_id_query1_cnt,10
day6_user_id_query_cnt,10
same_cate,9
after_query_1_brand_cnt,9
before_query_all_rate,9
before_shop_query_all_cnt,9
context_page_idbuy0,9
before_cate_query_all_cnt,8
before_shop_query_cnt,8
item_city_idcnt1,8
item_city_idcnt3,8
after_city_query_cnt,7
item_id_shop_id_6day_cvr,7
day6_user_id_item_id_cnt,7
days7_user_id_top10_cnt,7
days7_user_id_predict_category_property_cnt,7
item_id_item_price_level_var,7
after_query_1_city_cnt,6
after_query_all_shop_cnt,6
before_query_all_brand_cnt,6
user_6day_cvr,6
item_city_idcnt4,6
full_item_city_id_cnt,6
after_query_all_brand_cnt,5
after_query_all_city_cnt,5
after_brand_query_all_cnt,5
after_city_query_all_cnt,5
brand_cvr_shop_7days_rank,5
item_city_idcnt2,5
context_page_idbuy1,5
full_item_id_item_city_id_cnt,5
full_predict_category_property_query_cnt,5
item_id_item_category_list_6day_cvr,4
context_page_idbuy3,4
full_item_id_shop_id_cnt,4
day6_item_id_shop_id_cnt,4
after_brand_query_cnt,3
after_shop_query_all_cnt,3
before_cate_query_1_cnt,3
context_page_idbuy2,3
full_item_category_list_cnt,3
day6_user_id_predict_category_property_cnt,3
days7_item_id_shop_id_cnt,3
before_shop_query_1_cnt,2
context_page_idbuy5,2
full_query1_cnt,2
full_item_id_cate_cnt,2
day6_user_id_top10_cnt,2
diff_item_price_level_today_d_7days,2
after_brand_query_1_cnt,1
before_brand_query_1_cnt,1
day6_user_buy_items,1
context_page_idbuy4,1
day6_item_id_item_category_list_cnt,1
days7_item_city_id_cnt,1
days7_query1_cnt,1
days7_item_id_cate_cnt,1
after_diff_query_1_cnt,0
after_diff_query_all_cnt,0
after_diff_query_cnt,0
after_query_all_item_cnt,0
after_query_item_cnt,0
before_diff_query_1_cnt,0
before_diff_query_all_cnt,0
before_diff_query_cnt,0
after_shop_query_cnt,0
day6_user_buy_shops,0
day6_user_items_d_shops,0
context_page_idbuy6,0
context_page_idcnt0,0
context_page_idcnt1,0
context_page_idcnt2,0
context_page_idcnt3,0
context_page_idcnt4,0
context_page_idcnt5,0
full_context_page_id_cnt,0
full_item_category_list_cate_cnt,0
day6_context_page_id_cnt,0
day6_item_id_cate_cnt,0
day6_item_category_list_cate_cnt,0
days7_item_category_list_cnt,0
days7_context_page_id_cnt,0
days7_item_category_list_cate_cnt,0
diff_item_price_level_today_d_6day,0
diff_item_collected_level_today_d_6day,0
diff_shop_review_num_level_today_d_6day,0
diff_shop_star_level_today_d_6day,0
